lyric,count,song,%
"""Today was a fairytale""",16,Today Was A Fairytale (Taylor's Version),0.14%
"""(Red, red, red)""",14,Red (Taylor's Version),0.12%
"""Look what you just made me do""",13,Look What You Made Me Do,0.11%
"""I'd never walk Cornelia Street again""",12,Cornelia Street,0.1%
"""Take me away""",12,The Very First Night (Taylor's Version) (From The Vault),0.1%
