lyric,count,song,%
"""The night comes down like heaven""",15,The Night Does Not Belong to God,1.0%
"""(I won't break and bend to my basic need to be loved and close to somebody)""",13,Dark Signs,0.87%
"""Sugar, I've developed a taste for you now""",12,Sugar,0.8%
"""I made loving you a blood sport""",12,Blood Sport,0.8%
"""(Why don't you just say what you wanted to say for once?)""",11,Descending,0.73%
