lyric,count,song,%
"""Na, na, na, na, na, na, na, na, na, na""",14,Where Did the Party Go,0.32%
"""You're just the last of the real ones""",14,The Last of the Real Ones,0.32%
"""I'm an American""",12,American Beauty / American Psycho,0.28%
"""Light 'em up, up, up""",12,My Songs Know What You Did In The Dark (Light ’Em Up),0.28%
"""Remember me for centuries""",12,Centuries,0.28%
