lyric,count,song,%
"""I'm pretty when I cry""",13,Pretty When You Cry,0.22%
"""God knows I tried""",13,God Knows I Tried,0.22%
"""And a lust for life (And a lust for life)""",12,Lust for Life,0.2%
"""Jimmy only love me when he wanna get high""",12,A&W,0.2%
"""Candy necklaces""",12,Candy Necklace,0.2%
