lyric,count,song,%
"""Seeing you tonight""",8,​bad idea right?,0.66%
"""It's a bad idea, right?""",6,​bad idea right?,0.49%
"""And he says I'm so American""",6,‎so american,0.49%
"""But it's me who's been makin' the bed""",5,​making the bed,0.41%
"""But can't two people reconnect?""",4,​bad idea right?,0.33%
