lyric,count,song,%
"""Oh-oh-oh-oh, oh-oh-oh-oh""",11,Can’t Blame a Girl for Trying,0.32%
"""I'm in the middle of starting over""",10,The Middle of Starting Over,0.29%
"""You got my heart, I don't want it back""",10,Don’t Want It Back,0.29%
"""That's what your love""",10,Your Love’s Like,0.29%
"""They looking at me""",10,Looking at Me,0.29%
