lyric,count,song,%
"""Violence against nature""",16,V.A.N,0.92%
"""Love's the death of peace of mind""",9,THE DEATH OF PEACE OF MIND,0.52%
"""Here am I, take me to the pearly gates""",8,Dethrone,0.46%
"""Can you hear me through the white noise?""",8,ARTIFICIAL SUICIDE OR TERMS & CONDITIONS,0.46%
"""Set me free, I think I'm giving up""",8,"Enough, Enough Now",0.46%
