lyric,count,song,%
"""Remember what the people said""",16,Let It Go,0.48%
"""When I wake up, I'm afraid""",14,Afraid,0.42%
"""You are stuck with me""",12,Stuck with Me,0.36%
"""I can't wait to get back to California""",12,When I Get Back,0.36%
"""Somebody else might take my place""",11,Afraid,0.33%
