lyric,count,song,%
"""I think we could do it if we tried""",9,Sofia,0.8%
"""You're the boy of my dreams""",9,B.O.M.D.,0.8%
"""And I could be a pretty girl""",8,Pretty Girl,0.71%
"""Walking out the door with your bags""",8,Bags,0.71%
"""Mm, mm, mm""",8,Glory of the Snow,0.71%
"""Ooh, ooh, ooh""",7,Thank You OR Add Up My Love OR Pier 4,0.62%
